strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,hour,session,atr14,atr_pct_rank,vol_bucket,ema55_slope_norm,trend_bucket,close,ema55,vwap
PEM,M15,long,2025-05-29 17:45:00+00:00,2025-05-29 20:45:00+00:00,3298.655,3312.395,3275.985,3343.9950000000003,13,timeout,0.606087340097033,17,NY_Late,5.5054330753182805,0.3854166666666667,MidVol,0.33100111816015354,Strong,3296.588,3280.8913524109034,3276.4800817490054
PEM,M15,long,2025-05-29 22:45:00+00:00,2025-05-30 01:45:00+00:00,3316.155,3320.635,3296.258,3355.949000000001,13,timeout,0.22515957179473944,22,NY_Late,6.5017897904849224,0.65625,MidVol,0.5364241801974264,Strong,3317.745,3296.3823223986346,3287.5182723031726
PEM,M15,long,2025-06-02 18:45:00+00:00,2025-06-02 21:00:00+00:00,3354.145,3374.105,3344.165,3374.105,10,tp,2.0,18,NY_Late,5.175953964781984,0.4895833333333333,MidVol,0.785457029394058,Strong,3356.265,3330.472673537618,3326.525324564853
PEM,M15,long,2025-06-03 02:15:00+00:00,2025-06-03 06:00:00+00:00,3378.755,3389.075,3360.085,3416.0950000000003,13,timeout,0.5527584359935548,2,Asia,4.719674646834744,0.19791666666666666,LowVol,0.7714204068843223,Strong,3379.505,3357.770867173109,3374.129760698931
PEM,M15,short,2025-06-04 18:30:00+00:00,2025-06-04 20:00:00+00:00,3349.495,3360.248,3360.248,3327.9889999999996,7,sl,-1.0,18,NY_Late,4.977038898548537,0.7395833333333334,HighVol,-0.23922047991066228,Moderate,3344.935,3356.9815694211297,3358.90144928668
PEM,M15,long,2025-06-05 16:15:00+00:00,2025-06-05 18:15:00+00:00,3376.948,3401.394,3364.725,3401.394,9,tp,2.0,16,NY_Overlap,4.035492282797774,0.21875,LowVol,0.20832018443326164,Moderate,3378.668,3370.8892102088994,3372.4541610095494
PEM,M15,long,2025-06-06 07:30:00+00:00,2025-06-06 08:00:00+00:00,3363.398,3357.248,3357.248,3375.6980000000003,3,sl,-1.0,7,London,3.8831498478668385,0.041666666666666664,LowVol,-0.059751002747127725,Flat,3362.965,3362.7595030098437,3355.670352725357
PEM,M15,long,2025-06-06 11:00:00+00:00,2025-06-06 13:00:00+00:00,3369.985,3362.148,3362.148,3385.659,9,sl,-1.0,11,London,4.069080304832238,0.09375,LowVol,0.1501927273837868,Moderate,3369.305,3363.243946501033,3358.829187750971
PEM,M15,long,2025-06-06 18:30:00+00:00,2025-06-06 19:15:00+00:00,3362.255,3355.588,3355.588,3375.589,4,sl,-1.0,18,NY_Late,4.173274832747773,0.1875,LowVol,-0.1120961926807782,Moderate,3360.605,3362.1356167241847,3360.3578654832113
PEM,M15,long,2025-06-09 23:00:00+00:00,2025-06-10 02:00:00+00:00,3330.339,3332.995,3318.675,3353.6669999999995,13,timeout,0.22770919067215395,23,NY_Late,4.806215571445901,0.4270833333333333,MidVol,0.2902679564084247,Strong,3328.205,3319.807703478344,3315.238745416488
PEM,M15,short,2025-06-10 07:45:00+00:00,2025-06-10 08:30:00+00:00,3321.148,3309.8740000000007,3326.785,3309.8740000000007,4,tp,2.0,7,London,3.787762289971245,0.21875,LowVol,-0.1405876320433372,Moderate,3317.225,3324.9119938038466,3329.2987550373095
PEM,M15,long,2025-06-10 18:00:00+00:00,2025-06-10 20:45:00+00:00,3333.935,3348.2149999999997,3326.795,3348.2149999999997,12,tp,2.0,18,NY_Late,4.104305048074285,0.3020833333333333,LowVol,0.42796959456246947,Strong,3335.235,3323.104997267814,3322.133026518159
PEM,M15,long,2025-06-11 02:45:00+00:00,2025-06-11 06:30:00+00:00,3331.748,3319.755,3319.755,3355.734,13,sl,-1.0,2,Asia,4.284321486985133,0.3333333333333333,MidVol,0.03128800189520979,Flat,3332.098,3327.0109054659356,3324.50184388546
PEM,M15,long,2025-06-11 08:00:00+00:00,2025-06-11 11:00:00+00:00,3332.448,3337.805,3320.798,3355.748,13,timeout,0.45982832618025143,8,London,4.510757615645875,0.46875,MidVol,0.17419128292148459,Moderate,3332.998,3326.6897254888822,3325.9177538634317
PEM,M15,short,2025-06-12 00:45:00+00:00,2025-06-12 01:15:00+00:00,3324.048,3333.898,3333.898,3304.347999999999,3,sl,-1.0,0,Asia,6.1077213009356175,0.8125,HighVol,-0.25313851145588134,Strong,3321.875,3333.8492697156566,3325.668720835943
PEM,M15,long,2025-06-12 05:45:00+00:00,2025-06-12 08:45:00+00:00,3363.848,3369.948,3351.145,3389.254,13,timeout,0.4802015271982934,5,Asia,5.390919064114497,0.6041666666666666,MidVol,0.7024804950762524,Strong,3365.295,3341.7472561000495,3344.367494631082
PEM,M15,long,2025-06-12 09:45:00+00:00,2025-06-12 12:45:00+00:00,3375.498,3374.255,3363.148,3400.198,13,timeout,-0.10064777327934796,9,London,5.899188379343873,0.6041666666666666,MidVol,0.6456219035220321,Strong,3376.775,3353.915927491794,3358.903532975235
PEM,M15,long,2025-06-12 17:30:00+00:00,2025-06-12 19:45:00+00:00,3367.245,3388.7249999999995,3356.505,3388.7249999999995,10,tp,2.0,17,NY_Late,6.7610870458193455,0.8229166666666666,HighVol,0.15368986631016662,Moderate,3381.348,3362.139580525415,3361.639830096228
PEM,M15,long,2025-06-13 07:15:00+00:00,2025-06-13 07:30:00+00:00,3392.405,3413.0850000000005,3382.065,3413.0850000000005,2,tp,2.0,7,London,5.023619560793868,0.3229166666666667,LowVol,0.32452383311359906,Strong,3404.365,3382.3581836116273,3390.449990629195
PEM,M15,long,2025-06-13 15:45:00+00:00,2025-06-13 18:00:00+00:00,3424.525,3412.995,3412.995,3447.5850000000005,10,sl,-1.0,15,NY_Overlap,6.7050704365859355,0.4583333333333333,MidVol,0.2750506448137897,Strong,3424.765,3411.460412716355,3414.9246409801367
PEM,M15,long,2025-06-13 19:45:00+00:00,2025-06-13 22:45:00+00:00,3427.968,3423.555,3418.348,3447.2079999999996,13,timeout,-0.45873180873181507,19,NY_Late,6.258380363182732,0.3125,LowVol,0.29870697363676235,Strong,3430.508,3416.3036982012295,3416.263116191362
PEM,M15,short,2025-06-17 16:15:00+00:00,2025-06-17 17:15:00+00:00,3379.525,3387.965,3387.965,3362.645,5,sl,-1.0,16,NY_Overlap,5.0949650251951955,0.40625,MidVol,-0.33612621188152,Strong,3379.705,3391.5063962155773,3390.6299217281507
PEM,M15,short,2025-06-17 21:15:00+00:00,2025-06-17 21:45:00+00:00,3389.365,3368.1989999999996,3399.948,3368.1989999999996,3,tp,2.0,21,NY_Late,5.827138187764202,0.7916666666666666,HighVol,-0.00980698527782273,Flat,3384.915,3390.8202379749473,3390.406133778855
PEM,M15,long,2025-06-18 00:45:00+00:00,2025-06-18 03:45:00+00:00,3389.535,3387.105,3379.965,3408.6749999999993,13,timeout,-0.25391849529779625,0,Asia,6.034796452377439,0.84375,HighVol,-0.026354584538529492,Flat,3389.548,3387.624136560601,3386.8473353270656
PEM,M15,short,2025-06-18 14:00:00+00:00,2025-06-18 17:00:00+00:00,3379.625,3377.945,3395.095,3348.6850000000004,13,timeout,0.10859728506786412,14,NY_Overlap,4.460175853223842,0.28125,LowVol,-0.16704445307548554,Moderate,3381.648,3386.4214678141175,3385.8270975436126
